Id,Op-Name,Op-Count,Byte-Count,Worker-Count,Avg-ResTime,Avg-ProcTime,60%-ResTime,80%-ResTime,90%-ResTime,95%-ResTime,99%-ResTime,100%-ResTime,Throughput,Bandwidth,Succ-Ratio,Config-Info
w39-s9-main-128workers-2,write,171,684000000,128,16377.46,9275.09,14780,16830,20920,30390,37150,37930,3.22,12893862.91,100%,30% cprefix=s3testqwer containers=u(1-20) objects=u(901-1000) sizes=c(4)MB
w39-s10-main-256workers-1,read,716,2864000000,256,9053.12,4590.82,8500,11140,14710,16950,18880,25950,14.37,57470563.79,100%,70% cprefix=s3testqwer containers=u(1-20) objects=u(1-300)
w39-s10-main-256workers-2,write,236,944000000,256,27222.88,13987.35,27700,29680,31370,39030,44880,48330,4.59,18358386,100%,30% cprefix=s3testqwer containers=u(1-20) objects=u(1001-1100) sizes=c(4)MB
w39-s11-main-512workers-1,read,746,2984000000,512,18548.35,9393.94,19270,22550,26130,29080,33740,38470,21.19,84748188.44,100%,70% cprefix=s3testqwer containers=u(1-20) objects=u(1-300)
w39-s11-main-512workers-2,write,20,80000000,512,59304.95,31131.85,59770,59960,59990,60000,60000,60000,0.34,1349384.87,100%,30% cprefix=s3testqwer containers=u(1-20) objects=u(1101-1200) sizes=c(4)MB
w39-s12-cleanup-1,cleanup-delete,24000,0,16,50.77,50.77,60,70,90,100,110,170,317.63,0,100%,100% cprefix=s3testqwer containers=r(1-20) objects=r(1-1200) cprefix=s3testqwer containers=r(1-20) objects=r(1-1200) cprefix=s3testqwer containers=r(1-20) objects=r(1-1200) deleteContainer=false cprefix=s3testqwer containers=r(1-20) objects=r(1-1200)
w39-s13-dispose-1,dispose-delete,0,0,16,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,N/A,100% cprefix=s3testqwer containers=r(1-20) cprefix=s3testqwer containers=r(1-20) cprefix=s3testqwer containers=r(1-20) objects=r(0-0) sizes=c(0)B cprefix=s3testqwer containers=r(1-20)
w40-s1-init-1,init-write,0,0,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,N/A,100% cprefix=s3testqwer containers=r(1-20) cprefix=s3testqwer containers=r(1-20) cprefix=s3testqwer containers=r(1-20) objects=r(0-0) sizes=c(0)B cprefix=s3testqwer containers=r(1-20)
w40-s2-prepare-1,prepare-write,6000,48000000000,16,2009.46,417.57,2110,2640,3090,3480,4420,6990,7.96,63714053.35,100%,100% cprefix=s3testqwer containers=r(1-20) objects=r(1-300) sizes=c(8)MB cprefix=s3testqwer containers=r(1-20) objects=r(1-300) sizes=c(8)MB cprefix=s3testqwer containers=r(1-20) objects=r(1-300) sizes=c(8)MB createContainer=false cprefix=s3testqwer containers=r(1-20) objects=r(1-300) sizes=c(8)MB
w40-s3-main-1worker-1,read,144,1152000000,1,277.49,14.1,260,280,340,470,490,490,2.4,19227559.5,100%,70% cprefix=s3testqwer containers=u(1-20) objects=u(1-300)
w40-s3-main-1worker-2,write,72,576000000,1,276.96,25.17,290,290,290,300,320,330,1.2,9613779.75,100%,30% cprefix=s3testqwer containers=u(1-20) objects=u(301-400) sizes=c(8)MB
