Op-Type,Sample-Type,Op-Count,Byte-Count,Avg-ResTime,Avg-ProcTime,Throughput,Bandwidth,Succ-Ratio
write,write,0,0,N/A,N/A,0,0,N/A
read,read,0,0,N/A,N/A,0,0,N/A
write,write,0,0,N/A,N/A,0,0,N/A
read,read,3,12000000,16714.67,11779.33,0.06,239310.78,100%
write,write,0,0,N/A,N/A,0,0,N/A
read,read,1,4000000,11780,4927,0.08,339558.57,100%
write,write,0,0,N/A,N/A,0,0,N/A
read,read,3,12000000,18350.67,10850.33,0.05,217975.73,100%
write,write,0,0,N/A,N/A,0,0,N/A
read,read,3,12000000,17024,11048.33,0.06,234962.41,100%
write,write,0,0,N/A,N/A,0,0,N/A
read,read,1,4000000,10593,4540,0.09,377607.85,100%
write,write,0,0,N/A,N/A,0,0,N/A
read,read,0,0,N/A,N/A,0,0,N/A
write,write,0,0,N/A,N/A,0,0,N/A
read,read,1,4000000,17008,5800,0.06,235183.44,100%
write,write,0,0,N/A,N/A,0,0,N/A
read,read,2,8000000,20491.5,7236,0.05,195202.89,100%
write,write,0,0,N/A,N/A,0,0,N/A
read,read,1,4000000,25897,5901,0.04,154458.05,100%
write,write,0,0,N/A,N/A,0,0,N/A
read,read,0,0,N/A,N/A,0,0,N/A
write,write,1,4000000,59991,30709,0.02,66676.67,100%
read,read,2,8000000,15828,11228.5,0.06,252708.72,100%
write,write,0,0,N/A,N/A,0,0,N/A
read,read,3,12000000,17437,8141.33,0.06,229397.26,100%
write,write,0,0,N/A,N/A,0,0,N/A
read,read,3,12000000,18783,8037.33,0.05,212954.75,100%
write,write,0,0,N/A,N/A,0,0,N/A
read,read,3,12000000,19767.67,11568.33,0.05,202350.64,100%
write,write,0,0,N/A,N/A,0,0,N/A
read,read,2,8000000,21256.5,8426,0.05,188177.73,100%
write,write,0,0,N/A,N/A,0,0,N/A
read,read,2,8000000,20669,7972.5,0.05,193526.54,100%
write,write,0,0,N/A,N/A,0,0,N/A
read,read,0,0,N/A,N/A,0,0,N/A
write,write,0,0,N/A,N/A,0,0,N/A
read,read,0,0,N/A,N/A,0,0,N/A
write,write,1,4000000,58380,30551,0.02,68515.44,100%
read,read,3,12000000,16303,10932.67,0.06,245353.62,100%
write,write,0,0,N/A,N/A,0,0,N/A
read,read,3,12000000,16395.33,11737,0.06,243971.86,100%
write,write,0,0,N/A,N/A,0,0,N/A
read,read,3,12000000,16609,10005,0.06,240833.28,100%
write,write,0,0,N/A,N/A,0,0,N/A
read,read,3,12000000,19244.33,10864.33,0.05,207853.39,100%
write,write,0,0,N/A,N/A,0,0,N/A
read,read,1,4000000,15898,5396,0.06,251603.98,100%
write,write,0,0,N/A,N/A,0,0,N/A
read,read,1,4000000,12241,5090,0.08,326770.69,100%
write,write,0,0,N/A,N/A,0,0,N/A
